,Nombre_Localidad,lon,lat
0,Antonio Nariño,-74.10284240061453,4.588770674946773
1,Tunjuelito,-74.13598945142026,4.574841398643681
2,Rafael Uribe Uribe,-74.11336318293532,4.566476901010238
3,La Candelaria,-74.07207079532726,4.59660507528703
4,Barrios Unidos,-74.07355160510066,4.669566933611326
5,Teusaquillo,-74.0857690195814,4.641173586744499
6,Puente Aranda,-74.11158023352897,4.616245470470528
7,Los Mártires,-74.08794786812673,4.607155935105739
8,Sumapaz,-74.25697871800323,4.036568748003002
9,Usaquén,-74.02788208945263,4.741928561374489
10,Chapinero,-74.03693917774578,4.644924718087881
11,Santa Fe,-74.03621758151405,4.593972728872525
12,San Cristobal,-74.06607256050795,4.548749009137821
13,Usme,-74.14280649581971,4.390025128513024
14,Ciudad Bolivar,-74.16195890440704,4.482460266085065
15,Bosa,-74.19438893446413,4.621779959985497
16,Kennedy,-74.15266762383406,4.630347351508813
17,Fontibón,-74.14015130074628,4.678182926105793
18,Engativá,-74.1131877032956,4.701125563425939
19,Suba,-74.07584527554953,4.763208121461947
